date,tokens
2020-06-22,cyber extortion scam january may lead least loss police erp charge gantry jul traffic condition remain optimal postcircuit breaker lta pofma encourage democracy disadvantage opposition shanmugam upcoming general election steroid recommend singapore treatment patient despite major breakthrough uk ntuc fairprice far extend price freeze housebrand product food delivery rider fin rid escooter man outside school china couple accuse obstruct containment work set trial lawyer discharge singapore report new case include case community new licence condition employment agency ensure fair hiring attract singaporean job vacancy doctor get jail lock exgirlfriend room assault refused sex singapore turf club resume race behind closed door jul plan expand mrt network early remains despite delay due khaw boon wan elderly man jail repeatedly kiss hug family maid hsa warns consumer weight loss product contain potent ban ingredient economic activity continue despite risk every person bear individual responsibility say shanmugam arrest fight break bukit batok fine issue far psp member alleged safe distancing breach bukit batok walkabout nea pap mp tan wu meng comment alfian saat politically motivate say wp chief pritam singh national museum singapore asian civilisation museum reopen jun patient hospital allow visitor different household day phase heavy penalty jul household repeat mosquito breeding offence multiple breeding habitat nea sia passenger city china japan south korea transit changi airport cyber extortion case january may lead least loss police hospital prepare spike dengue case amid concern rise number singapore reopen public transport cleaning regime take safety test property firm expect transaction physical viewing resale flat showrooms resume phase reopen emerge strong taskforce identify global risk seize economic opportunity singapore desmond lee commentary record dengue case complicate singapore fight commentary wrangling rest day foreign domestic worker employer face phase singapore police receive report cyber extortion scam january may year total loss add least say singapore police force spf monday jun case typically involve culprit ask victim perform compromise sexual act singapore electronic road pricing erp rate gantry remain zero least jul land transport authority lta say monday jun follow first review rate circuit breaker base lta monitoring traffic condition singapore protection online falsehood manipulation act pofma disadvantage opposition instead encourage great democracy say minister law home affair k shanmugam mr shanmugam speak host diana ser programme conversation sunday dexamethasone first drug improve survival patient team oxford university find widely available inexpensive expert singapore urge caution singapore ntuc fairprice continue freeze price housebrand item supermarket end year part million package alleviate living cost household amid pandemic item include daily essential grocery like rice oil singapore parttime food delivery rider fin monday jun rid electric scooter man outside school muhammad aznurhak abdul azeez way pick delivery domino pizza incident occur plead guilty one singapore married couple china set go trial charge obstruct containment work discharge initial lawyer china national hu jun wife shi sha set go trial aug accord court record charge singapore singapore confirm new case noon monday jun include one case community bring singapore total case community work pas holder ministry health moh say preliminary daily update vast singapore employment agency singapore meet new licence condition strengthen fair hiring practice announce ministry manpower mom monday jun nearly employment agency license mom must way abet discriminatory hiring singapore doctor repeatedly assault exgirlfriend leave facial fracture bleed brain sentence monday jun three year six month two week jail four stroke cane fine clarence teo shun jie locum singapore singapore turf club resume race behind closed door jul receive approval government announce medium release monday jun club resume race strict health safe management measure place singapore enter singapore singapore still stick planned expansion mrt network early although delay affect availability construction worker transport minister khaw boon wan say monday jun plan expand mrt singapore elderly man keep make advance maid hire care newborn family despite turn away repeatedly kiss hug filipino domestic helper man jail four month monday jun name singapore health science authority hsa monday jun issue alert three weight loss product find potent medicinal ingredient two product clinic k ro slim booster contain ban substance sibutramine rozell detox contain singapore singaporean calibrate carry economic activity even though risk high phase singapore reopen say minister law home affair k shanmugam speak host diana ser first three special episode conversation singapore three men arrest fight break bukit batok friday jun night police say receive call assistance blk bukit batok st friday three singaporean men age arrest affray police singapore fine issue far several member progress singapore party psp alleged noncompliance safe management measure national environment agency nea say sunday jun response query cna nea say aware incident singapore worker party wp chief pritam singh sunday night jun say article write people action party pap member parliament tan wu meng politically motivate divide singaporean mr singh first direct response opinion piece dr tan wu singapore national museum asian civilisation museum reopen jun one week commencement second phase singapore reopen indian heritage centre malay heritage centre sun yat sen nanyang memorial hall follow suit jul say national singapore patient ward acute community hospital allow receive five visitor different household day say ministry health moh singapore enter second phase post circuit breaker reopen phase reopen singapore household repeat mosquito breeding offence multiple breeding habitat soon face harsh penalty weekly dengue case report earlier month currently household issue composition sum mosquito breeding detect singapore singapore airline sia silkair scoot passenger fly select city china japan south korea transit changi airport approved city hong kong chongqing guangzhou shanghai china osaka tokyo narita international airport singapore police receive report cyber extortion case january may year total loss add least say singapore police force spf monday jun case typically involve culprit ask victim perform compromise sexual act singapore hospital prepare cope possible spike dengue case coming month data show high number infection number case decline aim continue current preventive effort control spread sufficient ridership train bus increase safeguard commuter coronavirus measure enough programme talk point investigates singapore property agent gear serve home buyer want view showroom resale residential unit person phase singapore post circuit breaker reopen potential buyer unable two month due restriction prompt singapore emerge strong taskforce work quickly identify risk threat sector singapore economy facilitate opportunity business worker say task force cochair desmond lee look happen economy people home could one factor drive record dengue case say assistant professor hannah clapham singapore move phase rule concern fdws rest day may get tricky navigate need ensure enough rest say anju mary paul
2020-06-21,men arrest latenight fight lorong mambong holland village commentary tough time excuse callous retrenchment tan wu meng opinion piece pritam singh serious thoughtful shanmugam make family brand mark launch show support family amid pandemic mosque resume congregational worship jun online booking require singapore report new case ntu student among community case sdp chee soon juan contest bukit batok smc upcoming general election report restaurant order close crowd see along lorong mambong holland village singapore two singaporean men arrest sunday jun fight break holland village friday night police say news release two men age arrest suspected involvement case affray take place lorong mambong economic fallout unprecedented reason retrenchment manage unprecedented level empathy compassion say peoplesearch jaime lim singapore opinion piece write senior parliamentary secretary tan wu meng support apparently offer worker party pritam singh playwright alfian sa serious thoughtful law home affair minister k shanmugam say sunday jun piece dr singapore business organisation community group adopt made family brand mark promote value family singapore initiative national population talent division nptd strategy group prime minister office launch saturday jun singapore mosque resume congregational worship service friday jun online booking require due limit number individual permit per session mosque offer two friday prayer session congregant per session mosque also offer daily singapore singapore confirm new infection noon sunday jun include case community case involve two singaporean one permanent resident three work pas holder four work permit holder say ministry health moh singapore singapore democratic party sdp secretarygeneral dr chee soon juan say sunday jun would contest bukit batok single member constituency smc seat upcoming general election dr chee confirm today walkabout bukit batok singapore british indian curry hut restaurant order close fail ensure safe management practice adhere lead crowd first day phase singapore reopen statement saturday jun urban redevelopment
2020-06-20,prove much one singapore halal mala restaurant commentary show singapore digital art humanity quite essential service business resilience time story picnic company magician corporate training firm commentary month food delivery takeaway teach u industryled group develop execute idea economic growth threemonth sprint singapore must master global trend speed transformation strong economy dpm heng singapore emerge crisis strong society renew sense identity value dpm heng political party resume ground activity phase speculation election grows wet weather see outdoors first saturday phase opt indoor sport arrest drone carry drug spot kranji reservoir park foreign inmate diagnose arrive jan sentence jail jun overstay new infection singapore include community case bring container take backseat eatery amid pandemic commentary ndp uniquely singapore phenomenon people die get restaurant see dinner crowds singapore enters phase reopen worship service may resume people time phase singapore reopen crowds return orchard road long line mall entrance shop reopen month singapore report new case include prison inmate social visit pas picture phase singapore reopen amid pandemic peppercorn owner james tan find challenge time start sell mala soup plan extend lease happen story first cna insider series micro smes beat change drastically coronavirus pandemic thought put digitise archive collection make accessible inclusive say sutd alastair gornall singapore kembangan ms liyana stuart already one earlymorning walk ritual observe daily since start outbreak walk ms liyana buy coffee sometimes grocery back home work may undone singapore zerowaste effort also present opportunity build longlasting habit say project become coco oan ang li singapore seven industryled group develop execute idea key area economic growth within three month late push ensure singapore economy emerge strong crisis deputy prime minister heng swee keat announce televised speech saturday singapore singapore must master major trend reshape global economy speed structural transformation economy emerge strong one deputy prime minister heng swee keat say saturday jun minister speak build singapore singapore emerge crisis strong society renew sense identity value say deputy prime minister heng swee keat saturday jun vow leave singaporean behind mr heng deliver sixth final speech series singapore several political party undertake outreach activity saturday jun speculation grow next general election imminent singapore move phase reopen friday follow twomonth circuit breaker period party singapore addition bring along badminton racquet shuttlecock leisurely game tampines hub court saturday jun mr p shreekant mr gm viswanath make sure pack hand sanitiser well bring sanitisers even though safe singapore four singaporean arrest authority seize drone carry drug kranji reservoir park say singapore police force spf central narcotic bureau cnb joint news release saturday jun accord release police detect singapore foreign inmate social visit pas recently test positive arrive singapore jan sentence jail jun overstay singapore prison service say saturday jun respond cna query sps say singapore singapore confirm new infection noon saturday jun bring country total two community case say ministry health moh preliminary daily update evening update moh say two community case work singapore julia anna deufel go regular coffee haunt bukit timah recently reusable mug allow use surprise store encourages bring byo practice sell mug purpose store offer hold national day parade coronavirus time see debate worth keep mind parade meaningful many singaporean participant say judith silva singapore restaurant fill friday jun first day phase singapore reopen twomonthlong circuit breaker phase announce jun modern european restaurant set date reopen minute singapore congregational worship service may resume jun start people time phase singapore post circuit breaker reopen people include religious support worker although keep minimum say singapore crowd back singapore orchard road shop district friday jun many customer eager make purchase first day retail outlet allow reopen part phase singapore reopen physical shop allow resume business singapore singapore report new case noon friday jun bring national tally one case community prison inmate social visit pas say ministry health moh sri lankan man arrive singapore singapore red tape remove playground public bench shutter shop din diner return eatery hawker centre singapore friday jun saunter phase reopen masked face safedistancing
2020-06-19,commentary get tracetogether download without make mandatory low thia khiang recover steadily say wp chief pritam singh visit singapore business potential target global phishing campaign take advantage pandemic man jail cheat victim unlicensed forex trading wastewater test way singapore tackle pilot launch foreign worker dormitory changi prison inmate test positive asymptomatic link previous case rena lee succeed daren tang chief executive singapore ip office new specie orchid native singapore discover bukit timah reserve singapore pools outlet remain close first weekend phase branch reopen monday slow start f b outlet lunchtime singapore begin phase reopen singaporean may allow enter malaysia without restriction reciprocal arrangement putrajaya potential phishing campaign use fake mom email address support fund ministry patient shed high load virus first week irrespective symptom singapore study pap mp tan wu meng criticise wp leader pritam singh love critic comment happy nt want stay long shopper cautiously return first day phase reopen psp shy away threecornered fight tan cheng bock singaporean fbi wanted list charge falsify invoice conceal trade north korea cocktail bar jekyll hyde reopen team cafe innovative move patient age acute respiratory infection test moh progress singapore party unveils first batch potential candidate general election playgrounds beach reopen start phase tracetogether token face chickenandegg challenge get enough people download wear device say bryan tan singapore former worker party wp chief low thia khiang recover steadily say party current leader pritam singh visit friday jun singapore begin second phase reopen visit mr low home evening see singapore potential global phishing campaign purport help business pandemic singapore reportedly among six country target singapore computer emergency response team singcert say friday jun bogus campaign centre singapore man jail cheat two victim conduct foreign exchange trading without licence say police friday jun ahmadnawar abd karim thursday sentence month jail say police news release singapore singapore expand wastewater test tackle pilot programme launch large foreign worker dormitory country national environment agency national water agency pub home team science technology agency htx say joint news singapore inmate test postive thursday jun asymptomatic link four case report last month singapore prison service sps say friday sps statement come ministry health moh report friday prison inmate singapore mrs rena lee succeed mr daren tang chief executive intellectual property office singapore ipos aug say ministry law friday jun mr tang leave ipos take appointment directorgeneral world intellectual property singapore new specie orchid native endemic singapore discover last year researcher singapore botanic garden specie nervilia singaporensis find july bukit timah nature reserve say national park board nparks news release singapore singapore pool outlet remain close weekend gradually resume operation monday jun toto lottery draw set take place next week singapore pool outlet close since apr country start circuit breaker curb spread singapore two month since people singapore allow dine food beverage establishment around country business ready welcome customer friday jun rush table seat first day singapore singapore singaporean may allow enter malaysia without need undergo screening home quarantine reciprocal arrangement malaysian say putrajaya friday jun speaking press conference measure senior minister singapore hacker may plan potential phishing campaign use spoofed ministry manpower mom email address support fund lure say ministry facebook post friday jun second time week mom warn public phishing singapore patient shed high load novel coronavirus air onto surface first week illness irrespective symptom accord recent singapore study publish national centre infectious disease ncid however possibility singapore senior parliamentary secretary tan wu meng criticise worker party secretarygeneral pritam singh comment make parliament earlier month citizen love critic opinion piece people action party website friday jun dr tan singapore shutter pull dust wipe display counter mall nonessential shop resume business friday jun first day singapore phase post circuit breaker reopen rush people snake queue shopper make singapore progress singapore party psp shy away threecornered fight situation arise say party secretarygeneral tan cheng bock friday jun dr tan add hop good sense would prevail opposition party decide field singapore singaporean manage director u federal bureau investigation fbi wanted list charge falsify invoice two company conceal transaction north korealinked entity tan wee beng manage director commodity partner cheeky along neil road two f b business serve drink burger one space jun singapore start next week age diagnose acute respiratory infection ari test ministry health moh say thursday jun part ministry plan expand test strategy economy reopen singapore progress singapore party psp thursday jun unveil first batch potential candidate upcoming general election include party vice chairman hazel poa national solidarity party well former people voice member brad bowyer singapore playground beach reopen soon singapore enter second phase post circuit breaker transition friday say public service division psd wednesday jun announce list place open public facility public housing
2020-06-18,sfa recall cheese spread uk due contamination botulismcausing bacterium migrant worker remain dormitory rest day phase reopen mom political party say adhere new campaign rule repeat call defer general election bus industry aim hire singaporean driver year khaw boon wan man charge push trolley transport ambassador advise mask man acquit murder illegal cigarette syndicate leader convict less charge indian national jail month corruption fraud money laundering ocbc reopen branch next two week phase singapore reopen drone kite fly allow part singapore due ndp rehearsals groom service overwhelm gyms grapple distance measure ahead phase reopen new economic task force keep small move nimbly plan engage singaporean desmond lee indonesia report new coronavirus case big daily rise coe bidding exercise resume jul midyear bonus civil servant onetime pay cut officer superscale grade general election candidate must play part mitigate risk become victim foreign interference eld new case singapore include community select kopitiam food junction food court test tabletop separator safe din political party get free airtime subsidise livestreaming venue ge take place phase rally tv broadcast preliminary campaigning guideline general election nparks give packet vegetable seed household encourage home gardening man get jail molest girlfriend daughter student get charge sexual offence underage girl ns defaulter stay outside singapore without permit year get jail singapore shortlist applicant digital bank licence paul tambyah first singaporean head international society infectious disease town council step prevention measure amid rise number dengue case sport physical activity phase need know singapore redouble effort strengthen social compact amid economic challenge tharman singapore singapore food agency sfa say thursday jun direct food importer atasco pte ltd recall primula cheese spread united kingdom news release sfa say united kingdom food standard agency fsa issue food recall alert singapore prevent wave new infection migrant worker continue stay within dormitory rest day singapore move phase reopen ministry manpower mom say press release thursday jun worker still able singapore mixed reaction political party follow announcement campaigning guideline election department thursday jun people action party pap say adhere prevailing guideline lay multiministry task force singapore public bus industry look increase hiring local worker aim employ singaporean bus driver say minister transport khaw boon wan thursday jun response positive far singaporean recruit singapore man charge court thursday jun allegedly push supermarket trolley transport ambassador ask man wear face mask properly singaporean man board train heading towards bedok mrt station jun singapore man trial murder leader illegal cigarette syndicate acquit murder thursday jun convict less charge judge find reasonable doubt prosecution case miya manik bangladeshi national singapore indian national sentence month jail penalty good service tax gst tourist refund fraud corruption money laundering thursday jun muthuvel sankar charge court jun five count corruption involve singapore ocbc bank reopen branch progressively next fortnight second phase singapore post circuit breaker reopen say thursday jun five branch bishan bukit panjang jurong west city square mall paya lebar square reopen singapore aerial activity fly kite drone allow part singapore certain day june july august lead national day parade ndp temporary restricted area establish padang many part singapore include singapore news singapore phase reopen friday jun shot arm many fitness wellness service catch offguard safe distance measure require implement couple pentup demand hiatus two month singapore new task force look singapore longterm economic recovery form relatively small membership move nimbly amid unpredictable pandemic keep change global economy say minister social family development desmond indonesia report new coronavirus infection thursday big daily increase since outbreak start locally take total number case singapore certificate entitlement coe bidding exercise resume jul motor vehicle dealership showroom open business phase singapore reopen friday jun give motor dealer vehicle buyer twoweek window plan confirm singapore civil servant singapore receive midyear bonus year amid unprecedented economic crisis bring say public service division psd thursday jun last time midyear bonus civil servant singapore candidate stand next general election must play part mitigate risk become vector victim foreign interference election department say thursday jun outcome singapore election must singaporean singaporean singapore singapore report new case noon thursday jun include four community bring national total case community comprise one singapore permanent resident three work permit holder four community case singapore tabletop separator instal table select kopitiam food junction outlet well canteen transport worker part trial create safe dining solution phase singapore postcircuit breaker period pilot project singapore political party candidate get free airtime mediacorp channel next general election fall phase singapore reopen pandemic say election department eld thursday jun government also subsidise singapore physical rally allow hustings general election fall within phase singapore reopen alternative way reach voter provide election department eld say thursday jun physical campaigning activity singapore interested household able receive free packet seed use grow vegetable home gardening edible initiative launch national park board nparks thursday jun initiative aim encourage home gardening singapore man molest girlfriend nineyearold daughter girlfriend toilet sentence thursday jun month jail three stroke cane party involve name due gag order protect identity victim singapore student charge sexual offence underage girlfriend thursday jun hand three charge similar offence second victim involve student name due gag order impose court protect identity singapore singaporeborn australian citizen jail four month wednesday jun default national service ns obligation stay outside country eight year without valid exit permit remington fhang lim plead guilty one count singapore singapore central bank shortlist applicant five digital bank licence offer city big banking liberalisation two decade shortlist application receive comprises five digital full bank applicant nine digital wholesale singapore infectious disease expert paul tambyah elect president usbased international society infectious disease isid national university singapore nu professor first singaporean hold position term begin singapore town council singapore adopt proactive approach intensify clean inspection education effort within estate dengue infection rate continue climb accord data national environment agency nea singapore record high number singapore sport physical activity may resume phase singapore reopen begin several condition say sport singapore sportsg wednesday jun advisory national sport agency say sport recreational facility whether manage singapore economic challenge singapore face underscore need country strengthen social compact make sure one leave behind say senior minister tharman shanmugaratnam wednesday jun pandemic hit economy hard around world
2020-06-17,commentary crisis put luxury brand fix nea urge coffee shop remove smoke corner launch programme improve toilet two arrest scam involve sale fake gold bar carousell nursing home resident allow visitor day jun leader industry like dior louis vuitton adopt novel cop strategy say iseasyusof ishak institute pritish bhattacharya singapore national environment agency nea encourage coffee shop remove smoke corner part measure safeguard public health diningin resume friday jun phase singapore reopen holistically safeguard public health coffee shop also singapore two men age arrest tuesday jun suspected involvement scam fake gold bar sell carousell police say victim make report jun say cheat online seller offer sell authentic gold bar singapore nurse home resident allow one visitor day visit cap minute singapore enters phase reopen friday jun visitor bar nurse home april case detect lee ah mooi old age home
2020-06-23,man move halfsister malaysia movement control order assault get jail flash flood report part singapore heavy rain man accuse leave home circuit breaker ride pmd meet others wee hour stricter requirement embalmer new rule licensed funeral parlour watch live pm lee address singapore new infection singapore include community case singapore core inflation record fourth straight month decline may north korean jail help supply worth luxury good singapore north korea helm pap jalan besar team exanchor minister yaacob hint newlook team recalcitrant thief steal library across singapore get year preventive detention fire break bukit panjang flat resident evacuate crunch time opposition party react announcement wp put video feature nicole seah election department release list nomination centre psp keen contest west coast tanjong pagar chua chu kang grcs smcs tan cheng bock writ election issue poll day fall jul president halimah yacob dissolve parliament issue writ election nomination day jun full pm lee speech advise president halimah dissolve parliament issue writ election pm lee call general election say clear deck fresh mandate watch pm lee address singaporeans call general election singapore take step step approach reopen border malaysia vivian balakrishnan commentary elderly better protect migrant worker dormitory clear mom singapore singaporean man living johor bahru sentence jail assault halfsister move live singapore malaysia movement control order start victim suffer schizophrenia find cover bruise singapore flash flood report part singapore tuesday jun heavy rain morning around national environment agency nea warn moderate heavy shower expect many part singapore pub say flash flood may occur singapore man accuse leave home without reasonable excuse circuit breaker period meet others early morning hour justin ong jia hao charge tuesday jun two count leave home without reasonable excuse another two singapore license funeral parlour embalm facility ensure allow experienced embalmer take basic infection control course work premise new rule industry new condition aim improve uplift singapore prime minister lee hsien loong make live address singapore tuesday jun mr lee national address available facebook page freetoair television radio speech broadcast cna website facebook youtube singapore singapore report new infection noon tuesday jun include three case community bring singapore total community case involve one permanent resident two work pas holder say ministry health moh singapore singapore core inflation drop per cent yearonyear may monetary authority singapore ministry trade industry mti say joint news release tuesday jun drop may although less steep negative per cent april singapore north korean man study singapore help father conspire others worth luxury good supply singapore north korea act prohibit united nation act li hyon sentence four week jail tuesday jun singapore people action party pap slate jalan besar could see new leader fresh face former anchor minister yaacob ibrahim acknowledge team wish step five term government dr yaacob stop short say would run singapore stateless man reoffending since go back crime within six month release jail steal phone laptop public library across island sim chye lai sentence tuesday jun eight year preventive detention year singapore fire break housing development board hdb flat bukit panjang tuesday jun afternoon prompt evacuation resident singapore civil defence force scdf say alert fire block jelapang road tuesday singapore several singapore opposition party quick respond prime minister lee hsien loong call election tuesday jun afternoon worker party wp put video facebook feature slate fresh face well familiar one pm singapore election department eld announce list nine nomination centre follow tuesday jun announcement nomination day take place jun singaporean head poll jul prospective candidate submit nomination paper singapore progress singapore party psp interested contest west coast tanjong pagar chua chu kang group representation constituency grcs well hong kah north marymount pioneer yio chu kang kebun baru single member constituency smcs upcoming singapore election department eld tuesday jun say president halimah yacob issue writ election general election poll day fall jul law poll day general election shall public holiday every employer allow singapore president halimah yacob dissolve parliament tuesday jun advice prime minister lee hsien loong prime minister office pmo say prime minister also advise nomination day tuesday jun president agree pmo statement singapore prime minister lee hsien loong say tuesday jun advise president halimah yacob dissolve parliament issue writ election election must hold april late hold election clear deck give new government fresh singapore prime minister lee hsien loong say tuesday jun call general election clear deck fresh mandate government televised address nation mr lee say advise president halimah yacob dissolve parliament issue writ singapore prime minister lee hsien loong make live address singapore tuesday jun announce call general election election thing relatively stable clear deck give new government fresh fiveyear mandate singapore singapore likely take step step approach reopen border malaysia measure place conduct test contact tracing say foreign affair minister vivian balakrishnan see possible big bang complete hold bar ward virus vital elderly keep move even indoors say changi general hospital dr samuel chew singapore another migrant worker dormitory housing resident clear ministry manpower mom say tuesday jun bring total number migrant worker clear figure correct jun include
2020-06-24,date singapore public holiday release include long weekend pap unveils new face include former people association head desmond tan public transport location get contactfree temperature selfcheck kiosk lee hsien yang join tan cheng bock progress singapore party focus general election covid twist pandemic may shape pivotal contest pap new prospective candidate include former public servant lawyer banker break news direct inbox cna launch new email newsletter reform party wo nt contest west coast grc seek avoid fight government cut private housing supply confirmed list land site due man get jail molest girl clinic singapore grab put partnership troubled wirecard hold majority employer reasonable fair costsaving measure singapore report new case include community nearly drug seize cnb raid singaporean arrest constituency political broadcast start jul keep safe distance campaigning say eld break news direct inbox cna launch new email newsletter social taboo hinder indonesia fight malaysian police arrest people use drone smuggle drug jb singapore singapore track roll singtel joint venture issue final award woman pocket restaurant nu business school get fine diner remove mask eat drink moh company fin store chilled meat seafood without licence new sengkang grc likely see keen contest pap wp political observer commentary make trip clinic way get medical treatment sdp outline new plan help retrenched due legal tussle snarl million oil hin leong deal police confirm rejection sdp application threeday fundraising event chee soon juan singapore ministry manpower mom wednesday jun release date singapore public holiday four long weekend next year public holiday fall friday monday three public holiday fall friday new year day jan chinese new singapore people action party pap wednesday jun formally introduce first four new candidate jul general election former chief executive people association pa desmond tan cofounder timbre group edward chia keppel offshore marine singapore contactfree temperature selfcheck kiosk progressively deploy public transport location islandwide third quarter ministry culture community youth mccy announce wednesday jun singapore move phase safe reopen singapore mr lee hsien yang brother prime minister lee hsien loong join progress singapore party psp lead dr tan cheng bock dr tan announce wednesday morning jun breakfast mr lee tiong bahru market great pleasure give singapore inevitable defining feature come general election ge significant campaign issue major factor poll carry massive global healthcare challenge spark minuscule virus lead disruption singapore people action party pap wednesday jun unveil second group four new prospective candidate lawyer hany soh banker wee national trade union congress ntuc director mohd fahmi aliman former civil servant yip hon weng pap assistant secretarygeneral singapore get alert break news email inbox happen cna tuesday jun launch new email newsletter aim allow subscriber receive break news singapore around world right inboxes break news service come singapore reform party contest west coast group representation constituency grc jul general election avoid potential threecornered fight people action party pap progress singapore party psp reform party secretarygeneral kenneth singapore government reduce supply private residential unit confirm list land sale programme second half year due economic impact pandemic three private residential site include one executive condominium site sngapore man clinic see doctor notice sevenyearold girl walk family find good look later follow pantry molest action china national chen bailin sentence month jail three stroke southeast asian ridehailing payment firm grab say put partnership wirecard hold till notice day wirecard disclose u billion financial hole threaten german firm future singapore majority employer singapore reasonable fair adopt costsaving measure situation finding jointly release wednesday jun ministry manpower mom employment discrimination watchdog tripartite alliance singapore singapore report new infection wednesday jun include seven new case community bring total number case singapore new community case wednesday two singaporean permanent resident five work pas singapore central narcotic bureau cnb arrest eight people seize nearly drug worth least twoday operation start monday jun drug consist heroin ice cnb say news release wednesday amount singapore election department eld wednesday jun announce detail tv broadcast livestreaming facility political party would rely heavily come general election physical political rally come writ election singapore get alert break news email inbox happen cna tuesday jun launch new email newsletter aim allow subscriber receive break news singapore around world right inboxes break news service come jakarta indonesian authority complain wednesday jun hundred people refuse test new coronavirus social taboo emerge another obstacle stop spread world fourthmost populous nation indonesia report new coronavirus infection johor bahru malaysian police say wednesday jun nab two people case involve use drone smuggle drug johor bahru singapore come authority announce tuesday arrest singaporean mohamad azli ahmad say singapore singapore track offer nationwide coverage singtel joint venture starhub wednesday jun issue final award operate network mark close robust rigorous call proposal process say minister singapore woman work restaurant campus national university singapore nu pocket almost diner almost two year one count criminal breach trust dishonest misappropriation malaysian ooi pei jun fin singapore diner remove mask eating drinking rather whole duration meal say ministry health moh wednesday jun respond medium query moh reiterate mask must wear time prevent droplet spread singapore importer supplier fine food fin wednesday jun operate unlicensed cold store store meat seafood product officer singapore food agency sfa make discovery december mandai link company elite fine singapore race new fourmember sengkang grc likely see strong contest people action party pap worker party wp political observer say wp almost certainly challenge pap say former nominated member parliament eugene tan people routine chronic health condition turn health tech reluctant attend clinic hospital say ashish oza singapore singapore democratic party sdp wednesday jun propose new plan create job singaporean lose job result virtual meet press session sdp secretarygeneral chee soon juan call extension party vision million dollar oil store tank ship asia europe become catch web lawsuit relate trade finance deal singapore hin leong trading pte ltd accord court document ship data singapore police confirm wednesday jun application oneman public procession singapore democratic party sdp hold friday sunday reject sdp event causebased therefore require permit police say response
2020-06-25,pap unveils third group potential candidate include former imda chief executive jetstar asia cut job extend staff furlough recovery plan singapore report new infection include community case worker party contest grcs smcs people voice party contest constituency every singapore resident get pair reusable mask jun people fin social gathering robertson quay circuit breaker pap unveils seven new face include changi airport linkedin executive singaporean first party dissolve say founder tan jee say man impregnate underage stepdaughter get jail rap sexually assault full goh chok tong decision run pm lee send valedictory letter psp unveils five prospective candidate include former saf colonel lawyer nicole seah among worker party prospective candidate patient age acute respiratory infection undergo test migrant worker dormitory expect free endjuly lawrence wong flout law robertson quay permanently ban work singapore vivocity somerset lucky plaza location visit case goh meng seng take tin pei ling macpherson smc people power party sole bid moh reject reform party chief kenneth jeyaretnam request waive stayhome notice singapore people action party pap thursday jun formally introduce four candidate jul general election former chief executive infocomm medium development authority imda tan kiat former chief executive officer ihh healthcare tan see leng singapore singaporebased budget airline jetstar asia cut job per cent workforce extend furlough majority staff december part recovery plan jetstar asia chief executive officer bara pasupathi say thursday jun singapore singapore report new infection noon thursday jun include five case community bring singapore total number case new community case one singaporean four work pas holder say ministry singapore worker party contest four group representation constituency grcs two single member constituency smcs upcoming general election party leader pritam singh say thursday jun party field candidate aljunied marine parade sengkang singapore people voice party field candidate contest five constituency upcoming general election announce party chief lim tean thursday jun mr lim say party decide contest two group representation constituency grc three single member singapore singapore resident able collect free pair reusable antimicrobial mask next monday jun part ongoing effort stop spread mask available collection vend machine locate islandwide community club singapore seven people flout law drink alcohol social gathering robertson quay fin thursday jun seven people comprise two group four men go pub crawl visit three pub drink chat singapore people action party pap thursday jun introduce seven prospective candidate ahead next general election first four ms yeo wan ling chief executive caregiver asia mr alvin tan sheng hui head public policy economics linkedin dr singapore opposition party singaporean first dissolve say party founder secretarygeneral tan jee say thursday jun party make decision best interest singapore name opposition unity cooperation say mr tan facebook post singapore ask stepdaughter sex man tell try take staircase empty flat repeatedly rap several month stop rap find boyfriend felt dirty singapore emeritus senior minister goh chok tong say letter prime minister lee hsien loong wednesday jun run come general election prime minister reply valedictory letter thursday sadness accept decision retire singapore progress singapore party psp thursday jun introduce five potential candidate jul general election former singapore arm force lieutenant colonel nadarajah loganathan lawyer wendy low ceo venture accelerator kumaran pillai customer singapore worker party wp formally announce first batch prospective candidate general election thursday jun advertise associate director nicole seah investment analyst louis chua kheng wee mr muhammad azhar abdul latip selfemployed singapore jul individual age present doctor symptom acute respiratory infection test say health minister gin kim yong thursday jun currently test conduct patient age move singapore per cent migrant worker stay dormitory expect clear end july say minister national development lawrence wong thursday jun speaking multiministry task force press conference thursday even mr wong singapore six people catch flout circuit breaker measure robertson quay work pass revoke permanently ban work singapore ministry manpower mom say thursday jun among seven people fin earlier singapore total location include eight shopping mall add thursday jun health ministrys list public place visit case infectious period kaki bukit recreation centre sheng siong supermarket geylang road shop singapore opposition figure goh meng seng contest behalf people power party ppp macpherson smc upcoming election area mr goh set sight tell cna thursday jun statement facebook thursday night ppp reform party secretarygeneral kenneth jeyaretnam must complete stayhome notice like singaporean return united kingdom ministry health moh say thursday
